Greek mythology;Roman mythology;The New Testament;The Old Testament;Saints;Historical figures;Occupation;Occupation + Nationality;Nationality;Women of different countries;Personification;Animals;Other
Achaemenides;Abundance;Aeneas;Aaron;Parisian matron;Abraham Bloemaert;Advocate;Apulian shepherd;African;Algerian woman;Air;Corvinus;Black boy
Achelous;Abundatia;Agrippa;Abdon;S Diego d'Alcalà;Abraham Ortelius;Augustinian monk;Assyrian army;Amorites;Belgian woman;Arithmetic;Cygnus;Black man
Achilles;Acestes;Ananias;Abel;San Diego;Admiral Egbert Meeusz Kortenaer;Bellows maker;Babylonian soldiers;Arab man;Bohemian noblewoman;Astrology;Hare (Lepus);Drinkers
Acis;Acis;Angel of the Annunciation;Abigail;Santa Giustina of Padua;Admiral Mendoza;Benedictine monk;Bishop of Liege;Assyrians;Danish woman;Astronomia;Partridge;ancestors
Actaeon;Aeneas;Anna;Abimelech;St Agatha;Ahmed I;Book binder;Cumaean Sibyl;Carthaginians;Dutch woman;Autumn;Pigritia;animal
Adonis;Amata;Annas;Abiram;St Agnes;Albert, Archduke of Austria;Book printer;Cumaen Sibyl;Cathaginians;English country woman;Castigatio (Correction);ants;baby
Aeacus;Amor (love);Aquila;Abraham;St Albert;Albrecht Dürer;Brewer;Daoist master;Corsican man;English gentlewoman;Charitas;ass;beggar
Aegeus;Apollo R;Augustus;Absalom;St Ambrose;Alessandro Farnese;Brush maker;Egyptian army;Egyptians;English lady;Charitas (Charity);bat;black woman
Aegisthus;Aquilo;Balthazar;Achan;St Anastasius;Alessandro Vittoria;Cabinet maker;Egyptian troops;Ethiopians;English noble gentlewoman;Chastity;bear;boor
Aeneas;Argus Panoptes;Caiaphas;Achior;St Anthony;Alexander Roelants;Cannon maker;English naval attack;Florentine noble couple;English noble woman;Christian religion;bees;boy
Aeolus;Ascanius;Caspar;Adah;St Anthony the Great;Alexander-Balthazar Roelants;Carthusian monk;English troops;Franciscan;French country woman;Church;beetle;brother
Aesacus;Aunus;Casper;Adam;St Antony;Amerigo Vespucci;Chair maker;Erythraean Sibyl;Greeks;French lady;Cognition;bird;bystanders
Aeson;Aurora;Chaereas;Adonijah;St Antony of Padua;Andrea del Sarto;Chandler;French army;Hebrews;French woman;Confessio (Confession);boar;card player
Agamemnon;Bacchus;Christ;Adoram;St Apollonia;Andreas Vesalius;Chief Captain;French generals;Hungarians;Greek woman;Crastion;buffalos;child
Agamennon;Bacchus' followers;Cornelius;Ahasuerus;St Augustine;Anne of Austria;Christian priest;French troops;Indians;Hungarian woman;Cunning;bull;citizen
Aglauros;Cacus;Dionysius;Ahijah;St Barbara;Anne of Denmark;Cistercian monk;Greek soldiers;Israelites;Indian girl;Death;butterfly;companion
Ajax;Camilla;Elymas;Alexander the Great;St Begga;Anne of England;Clock maker;Hun army;Italian;Irish woman;Dialectica;calf;couple
Alcinous;Ceres;Ethiopian eunuch;Amalekites;St Bernard;Anthony Ashley Cooper, first Earl of Shaftesbury;Comb maker;Israelite army;Jewish;Mestizo woman;Dies (Day);camel;crowd
Alcmene;Cloelia;Eutychus;Aman;St Bernardino;Anthony Shirley;Commander;Italian artist;Jews;Moorish woman;Discord;cammel;customer
Alcyone;Concordia;Evangelists;Ammonites;St Bonaventure;Anthony van Dyck;Coniuror;Ithacan rebels;Moor;Native American woman;Earth;caravan;dancers
Alecto;Corona;Festus;Amos;St Bruno;Antiouchus;Copper founder;Jewish church elders;Native American;Persian woman;Ecclesia;cat;daughter
Alpheus;Cupid;Glory;Antiochus;St Catherine of Alexandria;Antonin Dreux d'Aubray;Corydon;Jewish protector;Ombites;Philistine woman;Ecclesia Christi;cattle;family
Althaea;Cybele;Good Samaritan;Asher;St Catherine of Siena;Antoon Triest;Crossbowman;King of Jericho;Oriental;Portuguese woman;Fame;chameleon;father
Amalthea;Diana;Herod;Athaliah;St Cecilia;Apollophanes;Cutler;King of the Midianites;Ottomans;Scottich woman;Fates;cheetah;female
Amazons;Diana (Diana of Versailles);Herod Antipas;Avarice;St Celestine;Archduke Leopold Wilhelm of Austria;Diamond grinder;Libyan Sibyl;Peasants of Lycia;Spanish lady;Fire;chicken;figure
Amphitrite;Dido;Herod's soldiers;Balaam;St Christopher;Aristotle;Dominican monk;Ottoman army;Philistine men;Spanish noblewoman;Fortitude;cicada;fisherman
Amphitryon;Euryalus;Herodes;Balak, the King of Moab;St Clare;Arsames;Duke;Ottoman army chiefs;Portuguese nobleman;Swedish coutry woman;Fortune;cock;follower
Amymone;Fama;Herodias;Barak;St Diego;Artaxerxes II;Dyer;Ottoman forces;Romans;Swedish woman;France;cockerel;fool
Anaxarete;Fides (Faith);Holy Family;Bathsheba;St Dominic;Artaxerxes III;Embroiderer;Ottoman soldiers;Sardinian couple;Turkish woman;Genoa;cow;friend
Anchises;Flora;Judas Iscariot;Bel;St Dorothea;Artemisia;Exorcists;Persian enemy;Spanish man;Venetian ladies;Gentleness;crab;gentleman
Andraemon;Fury;Jude the Apostle;Belshazzar;St Elizabeth of Hungary;Ataxerxes I;Eyeglass maker;Persian sibyl;Syrians;Viennese woman;Geometria;crane;girl
Andromache;Gemini;King Herod;Benjamin;St Eustace;Augustin Wichmann;Female acrobat;Philistine soldier;Tartar;Women of Philippi;Geometry;crocodile;helper
Andromeda;Genius (or Fame);Lazarus;Bildad;St Francis;Baccio Bandinelli;Franciscan monk;Polish ambassador;Trojans;farmer woman from Lombardy;Grammar;crow;henchman
Anius;Hercules;Madonna;Blacksmith;St Francis Xavier;Bartholomeus Spranger;Franciscan monk Leo;Portuguese commander;Turks;gentlewoman of Antwerp;Grammatica;crustaceans;horseman
Antaeus;Hermaphroditus;Magi;Boaz;St Francis of Assisi;Baur;Gilbertine monk;Portuguese maiden;Venetians;gentlewoman of Brabant;Hearing;cub;human
Anticleia;Hersilia;Malchus;Cain;St Francis of Assisi (St Francis of Paola);Benedetto Varchi;Glass maker;Roman Prefect;couple from Naples;girl from Prague;Hell;cuckoo;husband
Antinous;Invidia;Maries;Cyrus;St George;Bernhard of Saxony-Weimar;Goatherd;Roman army;people of Rome;girl from Zurich;Heresy;deer;infant
Antiope;Janus;Martha;Dan;St Gregory;Bertram Ashburnham;Goldbeater;Roman jurisconsults;portuguese men;girl of Cologne;Hope;dog;infidel
Antiphates;Julia;Mary;Darius III;St Guillaume d'Aquitane;Black King;Grand Vizier;Roman officer;;lady of Cologne;Humility;dolphin;innocent
Aphrodite;Juno;Melchior;Dathan;St Helena;Bonaventura Peeters;Grocer;Roman officials;;lady of the English court;Hunger;donkey;invalid
Apollo G;Jupiter;Nero;Decalogue;St Ignatius;C. Abbegat;Hospitaliarian knight;Roman priest;;married woman of Cologne;Laud;dove;lady
Arachne;Justice;Nicodemus;Delilah;St Ignatius Loyola;Caius Cestius;Knight of the Garter;Roman soldier;;married woman of London;Law;dragonfly;male
Arcas;Latona;Pharisee;Dinah;St Irene;Camma;Knight of the Order;Roman warrior;;noblewoman from Brabant;Loquacity;duck;man
Ares;Lavinia;Pilate;Edna;St Jerome;Cao Zhi;Lantern maker;Samnite ambassadors;;religious woman of Antwerp;Melancholia;ducklings;monk
Arethusa;Liberalitas;Priscilla;Eglon;St John Lateran;Cardinal Albert, governor of the Spanish Netherlands;Linen bleacher;Sicilian farmer couple;;woman from Augsburg;Mocking;eagle;neighbours
Argos;Lucina;Proconsul Sergius;Ehud;St Juliana Falconieri;Cardinal Alessandro Farnese;Malabar boatman;Tatar soldiers;;woman from Bern;Music;elephant;onlooker
Argus;Lucretia;Salome;Eliezer;St Juliana of Nicomedia;Cardinal Franciotti;Mandarin;Turkish ambassadors;;woman from Dieppe;Old Testament;elk;parents
Ariadne;Luna;Samaritan;Elijah;St Justina of Padua;Carolus Clusius;Manufacturer;Turkish army;;woman from Frascati;Painting;falcons;passenger
Aristaeus;Mars;Samaritan woman;Eliphaz;St Katherine;Catherine Howard;Mint worker;Turkish prisoners;;woman from London;Painting (or Design);fish;peasant
Artemis;Mercury;Sanhedrin;Elisha;St Laurence;Catherine of Braganza;Mirror maker;Turkish soldiers;;woman from Nuremberg;Peace;flies;peasant boy
Ascalaphus;Mezentius;Sapphira;Elon;St Lawrence;Cato;Music instrument maker;Western army;;woman from Prague;Philosophy;flock;peasant couple
Ascanius;Minerva;Satan;Enoch;St Livier;Cato the Elder;Needle maker;Western cavalry;;woman from Strasbourg;Pleasure;foal;peasant girl
Asclepius;Mithras;Simon of Cyrene;Enosh;St Louis;Catullus;Norbertine monk;Western forces;;woman from Württemberg;Poenitentia (Penitence);fowl;peasant woman
Astyanax;Mors;Simon the Pharisee;Esau;St Margaret;Cecilia Metella;Oil maker;Western soldiers;;woman from Zurich;Poetry;fox;people
Atalanta;Neptune;Simon the magician;Esdras;St Margaret of Antioch;Chares of Lyndus;Paper maker;amorite kings;;woman of Antwerp;Pride;frog;putto
Athamas;Nisus;St Andrew;Esther;St Martin;Charles I;Pasty baker;archbishop of Toledo;;woman of Basel;Prudence;goat;relatives
Athena;Nox;St Anna;Eve;St Mary of Egypt;Charles I as Prince of Wales;Pearl piercer;army of Arameans;;woman of Calabria;Prudentia;goose;rider
Atlas;Pax (Peace);St Anne;Ezekiel;St Maurice;Charles I, King of England;Peat digger;army of Ethiopians;;woman of Cologne;Reason;greyhound;saint
Battus;Picus;St Barnabas;Ezra;St Nicholas;Charles II;Plumber;army of Philistines;;woman of Franconia;Religion;gulls;sightseers
Boreas;Pluto;St Bartholemew;Gabriel;St Nicholas of Bari;Charles II of Spain;Printmaker;army of the Volsci;;woman of London;Rhetorica;hare;sister
Briareus three-headed king;Pomona;St Bartholomew;Gad, Patriarch of Israel;St Nicholas of Myra;Charles II, when Prince of Wales;Rope makers;king of Israel;;woman of Lower Palatinate;Rome;hawk;smokers
Briseis;Priapus;St Elisabeth;Gehazi;St Nicholas of MyraВ ;Charles III de Bourbon;Sail maker;kings of the Orient;;woman of Mainz;Sapientia;herd of sheep;son
Byblis;Proserpina;St Elizabeth;Gideon;St Nicholas of Tolentino;Charles IV;Scalemaker;knight of Malta;;woman of Nuremberg;Scientia (Knowledge);heron;spectators
Cacus;Prosperpina;St James the Great;Gideon's army;St Onuphrius;Charles IV, Duke of Lorraine;School master;;;woman of Prag;Sight;horse;spinster
Cadmus;Remus;St James the Less;Goliath;St Pepin I;Charles IX , King of Sweden;Ship builder;;;woman of Upper Austria;Silence;hounds;spouse
Caenis;Rhea;St Joachim;Habakkuk;St Peter Martyr;Charles Spinola;Sieve makers;;;woman of the Order;Sin;lamb;strangers
Calliope;Roman she-wolf;St John the Baptist;Hagar;St Philip Benizi of the Servites;Charles V;Silk maker;;;;Smelling;leopard;traveller
Callisto;Romulus;St John the Evangelist;Ham;St Prosper;Charles V of Lorraine;Silversmith;;;;Spring;lion;widow
Calydonian Boar;Sabine women;St Joseph;Haman;St Roch;Charles de Longueval;Skate maker;;;;Summer;lioness;woman
Calypso;Sabines;St Joseph of Arimathaea;Hirah;St Sebastian;Charles, Prince of Wales (Charles II);Stone sawyer;;;;Taste;livestock;
Cambyses;Saturn;St Jude Thaddeus;Holofernes;St Sepulchre;Christian, Margrave of Brandenburg-Bayreuth;Tanner;;;;Temperance;lizard;
Cassandra;Sol;St Longinus;Hur;St Simon of Trent;Christoph Guarinonius Fontanus;Tapestry maker;;;;Touching;locusts;
Cassiopeia;Spes (Hope);St Luke;Ibzan;St Sixtus;Christoph Harant;Tile maker;;;;Truth;mares;
Cephalus;Temperantia;St Mark;Isaac;St Stanislaus Kostka;Cipus;Tinsmith;;;;Vice;monkey;
Cepheus;Tiber;St Mary Magdalene;Isaiah;St Symphorian;Claude Deruet;Waggoner;;;;War;mountain goat;
Cerberus;Turnus;St Mathias;Ishmael;St Thais;Cloelia;Wagon builder;;;;Water;mountain lion;
Ceyx;Ulysses;St Matthew;Issachar, Patriarch of Israel;St Thomas Aquinas;Comte de Marsin, the Maréchal de Tallard;Wig maker;;;;Winter;mouse;
Chaos;Venus;St Matthias;Jabal;St Ursula;Conrad Celtis;Woodturner;;;;concupiscence;mule;
Charis;Vertumnus;St Michael;Jacob;St Valerian;Constantijn Huygens;Wool dresser;;;;humanity;ostrich;
Charon;Vestal Virgin Tuccia;St Paul;Jael;St William of Aquitaine;Constantine V;abbess;;;;impudence;otter;
Charybdis;Vestal Virgins;St Peter;Jair;StВ Margaret;Coriolanus;abbot;;;;patience;owl;
Chimaera;Victory;St Philip;Japeth;hermit Saint;Cornelis van Aken;accountant;;;;patient;ox;
Chione;Virtue;St Silas;Jehoiada;saints Catherine;Cornelius Gemma;acolytes;;;;;oxen;
Chiron;Virtus;St Simon;Jephtah;saints Francis;Corregio;acrobat;;;;;panther;
Chloris;Voluptas;St Stephen;Jephtah's daughter;;Cosimo I;actor;;;;;parrot;
Chronos;Vulcan;St Thomas;Jephthah;;Cosimo I de' Medici;almanac seller;;;;;peacock;
Ciconian men;companions of Romulus;St Veronica;Jephthah's daughter;;Cosimo II;ambassadors;;;;;pheasants;
Cimmerian Sibyl;daughter of King Nisus;Timor Dei (Fear of God);Jeremiah;;Cosimo de' Medici;angler;;;;;pig;
Circe;faun;Timotheus;Jeroboam's son;;Cossutia;apothecary;;;;;pigeon;
Circius;fauness;Virgin;Jesse;;Count Adolf van Nieuwenaar;apprentice;;;;;porcupine;
Cleitus;genius;Virgin Mary;Joab;;Count Ernst Rüdiger Starhemberg;archer;;;;;poultry;
Cleopatra;gryffin;Whore of Babylon;Joash;;Count Imre Tököly;architect;;;;;python;
Clio;king Evander;Zacchaeus;Job;;Count of Fuentes;armour-bearer;;;;;rabbit;
Clymene;queen of Carthage;Zacharias;Job's wife;;Croesus, king of Lydia;armourer;;;;;ram;
Clytemnestra;;angel;Jonah;;D. Junius Silanus;army leaders;;;;;rat;
Colossus of Rhodes;;apostle;Jonas;;Damião de Goes;army officers;;;;;raven;
Cornix;;baptised at Samaria;Joseph (Son of Jacob);;Damocles;artist;;;;;red squirrel;
Corona;;demon;Joseph brothers;;Daniel Barbaro;asparagus seller;;;;;rhino;
Coronis;;disciple;Joseph, the Patriarch of Israel;;Daniel Colwall;assistant;;;;;rooster;
Creusa;;prodigal son;Joshua;;Daniel Heinsius;astrologer;;;;;ruff;
Cybele;;thief;Jubal;;Daniel, Oliver Cromwell's porter;astronomer;;;;;scorpion;
Cyclop;;woman of Samaria;Judah, Patriarch of Israel;;Dante;attendant;;;;;seals;
Cyparissus;;woman of the Apocalypse;Judas Maccabeus;;Darius;author;;;;;serpent;
Dacia;;;Judith;;Darius I;bagpiper;;;;;she-goat;
Daedalion;;;King Abijam;;Darius II;baker;;;;;she-wolf;
Daedalus;;;King Ahab;;David Teniers the Younger;ballad sellers;;;;;sheep;
Danae;;;King Ahaz;;Desiderius Erasmus;bargeman;;;;;silkworm;
Daphne;;;King Ahaziah;;Dirck Volkertsz Coornhert;basket weaver;;;;;slug;
Daphnis;;;King Amaziah;;Doge Francesco Donato;beater;;;;;snails;
Deianeira;;;King Amon;;Don Juan de Austria;biscuit seller;;;;;snake;
Deianira;;;King Asa;;Dr James Usher;bishop;;;;;spider;
Deidamia;;;King David;;Duke of Burgundy, the Maréchal de Vauban;boatsmen;;;;;spider crab;
Dejanira;;;King Hezekiah;;Duke of Lorraine;book-dealers;;;;;stag;
Demagorgon;;;King Jehoahaz;;Duke of Norfolk;bookseller;;;;;stork;
Demogorgon;;;King Jehoiachim;;Duke of Savoy;boot-maker;;;;;swan;
Deucalion;;;King Jehoiachin;;Earl of Pembroke;bread-makers;;;;;swine;
Dido;;;King Jehoram;;Edward Fiennes de Clinton, 1st Earl of Lincoln;broom-maker;;;;;tiger;
Diomedes;;;King Jehoshaphat;;Edward I;builders;;;;;tigress;
Dioscuri;;;King Jeroboam;;Edward II;butcher;;;;;turtle;
Dirce;;;King Joash;;Edward III;captains;;;;;viper;
Dolios;;;King Josiah;;Edward IV;cardinal;;;;;vulture;
Dryope;;;King Jotham;;Edward Sackville, fourth earl of Dorset;carpenter;;;;;whale;
Elpenor;;;King Manasseh;;Edward V;cavalry;;;;;wild sow;
Envy;;;King Nebuchadnezzar;;Edward VI;chemist;;;;;wolf;
Eos;;;King Rehoboam;;Edward the Confessor;cherry seller;;;;;;
Erato;;;King Uzziah;;Elector Friedrich the Wise;chicken seller;;;;;;
Eridanus;;;King Zedekiah;;Eleonor Gonzaga;cleric;;;;;;
Erigone;;;Laban;;Eleonora Magdalen;cloth shearer;;;;;;
Eris;;;Lamech;;Elisabeth of Austria, Queen of Charles IX of France;clown;;;;;;
Erminia;;;Levi;;Elizabeth I;coachman;;;;;;
Eros;;;Lot;;Elizabeth of Bohemia;coal seller;;;;;;
Erysichthon;;;Loth;;Emperor Charles V;cobbler;;;;;;
Erythraea (or Babylonica);;;Malachias;;Emperor Charles V;contortionist;;;;;;
Eumaios;;;Manoah;;Emperor Commodus;cook;;;;;;
Europa;;;Mattathias;;Emperor Constantine;cooper;;;;;;
Europe;;;Melchizadek;;Emperor Justinian;cornet player;;;;;;
